条码,商品全名,规格,型号,商品陈列,装箱数量,总仓补货,和谐补货
6.928E+12,婴之侣旋转式冰箱安全扣,1个/盒,ID-S030,6,5,5,4
6.928E+12,婴之侣弹性防撞桌边,1/个,ID-S022,5,3,3,0
6.928E+12,婴之侣墙边防撞条,1/盒,ID-S016,5,0,0,1
6.928E+12,婴之侣婴幼儿安全床护栏,1个/盒,ID-S027,2,2,2,2
6.90005E+12,婴之侣咪咪兔光控小夜灯/弯耳朵,1/个,ID-S053,5,2,2,1
6.928E+12,婴之侣囧爸加强型安全门卡,1/个,ID-S010A,5,0,0,1
6.928E+12,婴之侣囧妈加强型安全门卡,1/个,ID-S010B,5,2,2,0
6.9527E+12,贝亲婴儿柔湿纸巾10p★,10抽/包,KA38(OAP12),20,25,25,36
6.93103E+12,贝亲奶瓶保温袋/绿色,1/个,GA06(OAL02),3,4,4,3
4.90251E+12,贝亲婴儿训练牙刷/1-3岁/绿色+黄色,2把/卡,10852,10,1,1,6
6.9527E+12,贝亲婴儿手口擦拭湿纸巾70p/无酒精/3联包,3包/组,PL145,10,17,17,2
6.93103E+12,贝亲单手便携大容量吸管杯/芒果黄,300ml/个,DA50,5,0,0,2
6.95212E+12,贝亲自然实感宽口奶嘴/L/Y孔/单个盒装★,1/个,BA60(OAH25),5,135,135,170
6.95212E+12,贝亲自然实感宽口PPSU奶瓶M/绿色,240ml/个,AA74(OAG34),6,3,3,1
4.90251E+12,贝亲海绵可洗粉扑,1/个,10030,8,4,4,2
6.93103E+12,贝亲儿童沐浴露/甜橙味,250ml/瓶,IA48(OAD02),8,9,9,1
6.93103E+12,贝亲儿童免洗喷雾/抑菌型,120ml/瓶,IA50(OAE01),8,9,9,3
6.93103E+12,贝亲婴儿抗菌洗衣粉,800g/袋,MA15(OAN11),8,14,14,8
6.93103E+12,贝亲婴儿抗菌洗衣粉,1500g/袋,MA14(OAN10),8,0,0,7
4.90251E+12,贝亲食物研磨器/进口,1/套,3040,4,8,8,5
4.90251E+12,贝亲婴幼儿用无纺布口罩,3/包,15020,5,4,4,1
6.9527E+12,贝亲迷你吸管杯/粉色,150ml/个,DA46,6,6,6,1
4.90251E+12,贝亲训练牙刷1段/绿色,1/把,10504,8,4,4,2
6.9527E+12,贝亲便携式两用奶粉盒/樱花粉,1/个,CA08,4,1,1,0
6.95212E+12,贝亲10周年纪念彩绘奶瓶/欢庆花火蓝色▲,1/套,PL151,,2,2,1
4.0086E+12,NUK超厚特柔婴儿湿纸巾三联包★,240片/包,40.272.702,4,36,36,33
4.0086E+12,NUK通气仿真乳胶奶嘴/中圆孔/0-6月,2只/卡,40.701.708,5,12,12,1
4.0086E+12,NUK宽口通气仿真乳胶奶嘴/中圆孔/6-18月,2只/卡,30.902.325,5,4,4,3
4.0086E+12,NUK印花硅胶安抚奶嘴王2号6-18月,1/个,40.735.707,5,2,2,2
4.0086E+12,NUK新宽口乳胶通气仿真奶嘴王+圆孔/0-6月,2个/卡,40.701.712,5,0,0,1
6.94753E+12,小白熊家用暖奶器,1/台,HL-0652,3,6,6,1
6.94244E+12,小白熊奶粉搅拌器,1/个,HL-0609,10,4,4,2
6.94753E+12,小白熊智能暖奶器,1/台,HL-0615,4,0,0,1
6.95141E+12,小白熊婴童理发器,1/个,HL-0688,4,2,2,6
6.95141E+12,小白熊奶嘴电子体温计,1/个,9228,5,6,6,3
6.95141E+12,小白熊易握学习碗/含吸盘,1/个,9058,5,4,4,1
6.95141E+12,小白熊研磨分隔碗勺组,1/套,9063,5,2,2,5
6.95141E+12,小白熊暖奶消毒器,1/个,HL-0809,4,2,2,7
6.95141E+12,小白熊研磨喂食勺,1/个,9053,4,5,5,3
6.95141E+12,小白熊四层便携奶粉盒,1/个,9187,4,11,11,17
72239003305,布朗博士标准奶瓶专用奶嘴流量3,3个/卡,330,5,11,11,6
7.9285E+11,小蜜蜂乳油木果欧蕾保湿润肤乳,340g/支,,5,0,0,1
7.9285E+11,小蜜蜂石榴保湿滋润护唇膏TUBE,4.25g/支,,5,4,4,1
6.94345E+12,蔓葆单面婴儿爬行垫/森林乐园▲,1/个,100527,3,4,4,2
6.94345E+12,蔓葆婴儿游泳脖圈通用（圆形）/M,1/个,100114,10,8,8,4
4.89703E+12,bobo安全晶透学饮杯,180ml/个,BB305C,6,0,0,8
4.89703E+12,bobo电子体温计,1/个,BQ238,,0,0,1
4.89703E+12,bobo食物研磨器,1/盒,BT420,4,4,4,2
4.89703E+12,bobo乐儿宝进口玻璃奶瓶250ml/中流量,250ml/个,BP525,8,0,0,1
4.89703E+12,bobo宝宝爱吃饭易握大碗,300ml/个,BD111A,,0,0,1
8.00858E+12,OKBABY巴迪洗澡躺椅/蓝色,1/个,OK3794-84,5,9,9,1
2.5E+12,OKBABY遮水头圈/浴帽/粉色,1/个,OK3829-36,6,7,7,3
2.5E+12,OKBABY遮水头圈/浴帽/黄色,1/个,OK3829-52,6,5,5,3
2.5E+12,OKBABY透明桃红色欧达巴新/澡盆,1/个,OK3823-99,,0,0,1
6.92152E+12,康贝婴儿柔纱大沐浴巾/蓝色贝贝熊▲,1/条,101001,6,0,0,1
4.97299E+12,康贝婴儿洗浴水勺,1/个,20395,10,17,17,1
6.92152E+12,康贝婴儿柔纱手帕/蓝色贝贝熊★▲,5条/包,100401,10,15,15,2
2.5E+12,康贝婴儿柔纱手帕/粉色贝贝熊▲,5条/包,100402,10,20,20,8
6.92152E+12,康贝婴幼儿宽口喝水训练杯3段/8月以上/新,1/个,6304,6,2,2,2
6.92152E+12,康贝婴幼儿训练杯吸管4段/9月以上/新,1/个,6309,6,4,4,6
4.89503E+12,康贝面条切刀调羹/杏仁红,1/把,31015,5,3,3,3
4.97299E+12,康贝婴幼儿牙刷/第三阶段,2把/包,114189,5,6,6,3
4.97299E+12,康贝婴幼儿牙刷/第二阶段,1/把,114188,,4,4,4
4.89503E+12,康贝辅助训练筷/香橙红,1/双,31017,3,2,2,1
6.92152E+12,康贝婴儿柔湿纸巾PIPI专用三联包★,3包/提,8119,25,63,63,40
6.92152E+12,康贝婴儿凡士林,45g/瓶,9011,8,2,2,2
6.92152E+12,康贝婴儿柑橘洗衣液补充装,600ml/袋,9084,4,11,11,9
6.92152E+12,康贝婴儿柑橘斑点去污剂,200ml/瓶,9056,5,7,7,1
6.92152E+12,康贝婴儿柑橘洗衣精,1200ml/瓶,9049,4,6,6,3
6.92152E+12,康贝幼儿专用立体口罩,5个/袋,8145,6,1,1,0
4.89503E+12,康贝围兜/甜橙红/英文版,1/个,31023,5,4,4,2
6.92152E+12,康贝婴儿柑橘柔衣精补充装,1000ml/袋,9052,5,4,4,2
6.92152E+12,康贝婴儿草本修润膏/洋甘菊修复皲裂,15g/盒,9105,,2,2,4
6.92152E+12,康贝婴儿特润滋养唇蜜/玫瑰花香,8ml/支,9087,,2,2,2
6.94848E+12,易简陶刀头静音理发器,1/个,HK288T,6,1,1,6
6.94848E+12,易简智能灵动陶瓷刀头理发器,1/个,HK65,6,1,1,2
71463044054,福喜儿叉和匙套装盒9月以上,1/套,4405,10,6,6,1
4.89513E+12,贝儿欣宝宝剪刀/白色,1/把,BS4133,10,7,7,2
4.89513E+12,贝儿欣标准口径恩美奶嘴升级版中流量/4-9月,1/个,BS4388,5,3,3,1
6.93566E+12,马博士腋下婴儿游泳圈S,1/个,600094,3,0,0,1
6.94381E+12,康庄非接触型额温枪,1/个,NT3,3,6,6,2
6.93452E+12,康庄降温贴50mm*110mm,4片/盒,,10,11,11,2
6.94465E+12,亲亲我营养咬咬乐6月以上,1/个,908912,6,13,13,3
6.94465E+12,亲亲我营养咬咬乐套装4月以上,1/个,908913,6,2,2,1
