供货商编号,条形码,商品全名,规格,型号,数量
1234,6927999000856,婴之侣旋转式冰箱安全扣,1个/盒,ID-S030,6
1234,6927999000610,婴之侣弹性防撞桌边,1/个,ID-S022,5
1234,6927999000559,婴之侣墙边防撞条,1/盒,ID-S016,5
1234,6927999001303,婴之侣婴幼儿安全床护栏,1个/盒,ID-S027,2
1234,6900050104908,婴之侣咪咪兔光控小夜灯/弯耳朵,1/个,ID-S053,5
1234,6927999001846,婴之侣囧爸加强型安萠趴_1/个,ID-S010A,5
1234,6927999001853,婴之侣囧妈加强型安萠趴_1/个,ID-S010B,5
1234,6952703700333,贝亲婴儿柔湿纸巾10p★,10抽/包,KA38(OAP12),20
1234,6931025800662,贝亲奶瓶保温袋/绿色,1/个,GA06(OAL02),3
1234,4902508108522,贝亲婴儿训练牙刷/1-3岁/绿色+黄色,2把/卡,10852,10
1234,6952703700616,贝亲婴儿手口擦拭湿纸巾70p/无酒精/3联包,3包/组,PL145,10
1234,6931025812542,贝亲单手便携大容量吸管杯/芒果黄,300ml/个,DA50,5
1234,6952124200153,贝亲自然实感宽口奶嘴/L/Y孔/单个盒装★,1/个,BA60(OAH25),5
1234,6952124200047,贝亲自然实感宽口PPSU奶瓶M/绿色,240ml/个,AA74(OAG34),6
1234,4902508100304,贝亲海绵可洗粉扑,1/个,10030,8
1234,6931025808989,贝亲儿童沐浴露/甜橙味,250ml/瓶,IA48(OAD02),8
1234,6931025809009,贝亲儿童免洗喷雾/抑菌型,120ml/瓶,IA50(OAE01),8
1234,6931025811354,贝亲婴儿抗菌洗衣粉,800g/袋,MA15(OAN11),8
1234,6931025811347,贝亲婴儿抗菌洗衣粉,1500g/袋,MA14(OAN10),8
1234,4902508030403,贝亲食物研磨器/进口,1/套,03040,4
1234,4902508150200,贝亲婴幼儿用无纺布口罩,3/包,15020,5
1234,6952703700258,贝亲迷你吸管杯/粉色,150ml/个,DA46,6
1234,4902508105040,贝亲训练牙刷1段/绿色,1/把,10504,8
1234,6952703700432,贝亲便携式两用奶粉盒/樱花粉,1/个,CA08,4
1234,6952124201266,贝亲10周年纪念彩绘奶瓶/欢庆花火蓝色▲,1/套,PL151,
1234,4008600660149,NUK超厚特柔婴儿湿纸巾三联包★,240片/包,40.272.702,4
1234,4008600327936,NUK通气仿真乳胶奶嘴/中圆孔/0-6月,2只/卡,40.701.708,5
1234,4008600660538,NUK宽口通气仿真乳胶奶嘴/中圆孔/6-18月,2只/卡,30.902.325,5
1234,4008600328414,NUK印花硅胶安抚奶嘴王2号6-18月,1/个,40.735.707,5
1234,4008600660514,NUK新宽口乳胶通气仿真奶嘴王+圆孔/0-6月,2个/卡,40.701.712,5
1234,6947527406523,小白熊家用暖奶器,1/台,HL-0652,3
1234,6942436400099,小白熊奶粉搅拌器,1/个,HL-0609,10
1234,6947527406158,小白熊智能暖奶器,1/台,HL-0615,4
1234,6951406906882,小白熊婴童理发器,1/个,HL-0688,4
1234,6951406992281,小白熊奶嘴电子体温计,1/个,09228,5
1234,6951406990584,小白熊易握学习碗/含吸盘,1/个,09058,5
1234,6951406990638,小白熊研磨分隔碗勺组,1/套,09063,5
1234,6951406908091,小白熊暖奶消毒器,1/个,HL-0809,4
1234,6951406990539,小白熊研磨喂食勺,1/个,09053,4
1234,6951406991871,小白熊四层便携奶粉盒,1/个,09187,4
1234,072239003305,布朗博士标准奶瓶专用奶嘴流量3,3个/卡,330,5
1234,792850006454,小蜜蜂乳油木果欧蕾保湿润肤乳,340g/支,,5
1234,792850164994,小蜜蜂石榴保湿滋润护唇膏TUBE,4.25g/支,,5
